code,occupation_title,soc_code
3030,Dietitians and nutritionists,29-1031
3040,Optometrists,29-1041
3050,Pharmacists,29-1051
3065,Emergency medicine physicians,29-1214
3070,Radiologists,29-1224
3090,Other physicians,29-12XX
3100,Surgeons,29-1240
3110,Physician assistants,29-1071
3120,Podiatrists,29-1081
3140,Audiologists,29-1181
3150,Occupational therapists,29-1122
3160,Physical therapists,29-1123
3200,Radiation therapists,29-1124
3210,Recreational therapists,29-1125
3220,Respiratory therapists,29-1126
3230,Speech-language pathologists,29-1127
3235,Exercise physiologists,29-1128
3245,"Therapists, all other",29-1129
3250,Veterinarians,29-1131
3255,Registered nurses,29-1141
3256,Nurse anesthetists,29-1151
3257,Nurse midwives,29-1161
3258,Nurse practitioners,29-1171
3261,Acupuncturists,29-1291
3270,"Healthcare diagnosing or treating practitioners, all other",29-1299
3300,Clinical laboratory technologists and technicians,29-2010
3310,Dental hygienists,29-1292
3321,Cardiovascular technologists and technicians,29-2031
3322,Diagnostic medical sonographers,29-2032
3323,Radiologic technologists and technicians,29-2034
3324,Magnetic resonance imaging technologists,29-2035
3330,Nuclear medicine technologists and medical dosimetrists,29-203X
3401,Emergency medical technicians,29-2042
3402,Paramedics,29-2043
3421,Pharmacy technicians,29-2052
3422,Psychiatric technicians,29-2053
3423,Surgical technologists,29-2055
3424,Veterinary technologists and technicians,29-2056
3430,Dietetic technicians and ophthalmic medical technicians,29-205X
3500,Licensed practical and licensed vocational nurses,29-2061
3515,Medical records specialists,29-2072
3520,"Opticians, dispensing",29-2081
3545,Miscellaneous health technologists and technicians,29-2090
3550,Other healthcare practitioners and technical occupations,29-9000
3601,Home health aides,31-1121
3602,Personal care aides,31-1122
3603,Nursing assistants,31-1131
3605,Orderlies and psychiatric aides,31-113X
3610,Occupational therapy assistants and aides,31-2010
3620,Physical therapist assistants and aides,31-2020
3630,Massage therapists,31-9011
3640,Dental assistants,31-9091
3645,Medical assistants,31-9092
3646,Medical transcriptionists,31-9094
3647,Pharmacy aides,31-9095
3648,Veterinary assistants and laboratory animal caretakers,31-9096
3649,Phlebotomists,31-9097
3655,Other healthcare support workers,31-909X
3700,First-line supervisors of correctional officers,33-1011
3710,First-line supervisors of police and detectives,33-1012
3720,First-line supervisors of firefighting and prevention workers,33-1021
3725,First-line supervisors of security workers,33-1091
3735,"First-line supervisors of protective service workers, all other",33-1099
3740,Firefighters,33-2011
3750,Fire inspectors,33-2020
3801,Bailiffs,33-3011
3802,Correctional officers and jailers,33-3012
3820,Detectives and criminal investigators,33-3021
3830,Fish and game wardens,33-3031
3840,Parking enforcement workers,33-3041
3870,Police officers,33-3050
3900,Animal control workers,33-9011
3910,Private detectives and investigators,33-9021
3930,Security guards and gambling surveillance officers,33-9030
3940,Crossing guards and flaggers,33-9091
3945,Transportation security screeners,33-9093
3946,School bus monitors,33-9094
3960,Other protective service workers,33-909X
4000,Chefs and head cooks,35-1011
4010,First-line supervisors of food preparation and serving workers,35-1012
4020,Cooks,35-2010
4030,Food preparation workers,35-2021
4040,Bartenders,35-3011
4055,Fast food and counter workers,35-3023
4110,Waiters and waitresses,35-3031
4120,"Food servers, nonrestaurant",35-3041
4130,Dining room and cafeteria attendants and bartender helpers,35-9011
4140,Dishwashers,35-9021
4150,"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031
4160,"Food preparation and serving related workers, all other",35-9099
4200,First-line supervisors of housekeeping and janitorial workers,37-1011
4210,"First-line supervisors of landscaping, lawn service, and
groundskeeping workers",37-1012
4220,Janitors and building cleaners,37-201X
4230,Maids and housekeeping cleaners,37-2012
4240,Pest control workers,37-2021
4251,Landscaping and groundskeeping workers,37-3011
4252,Tree trimmers and pruners,37-3013
4255,Other grounds maintenance workers,37-301X
4330,Supervisors of personal care and service workers,39-1000
4340,Animal trainers,39-2011
4350,Animal caretakers,39-2021
4400,Gambling services workers,39-3010
4420,"Ushers, lobby attendants, and ticket takers",39-3031
4435,Other entertainment attendants and related workers,39-30XX
4461,"Embalmers, crematory operators and funeral attendants",39-40XX
4465,"Morticians, undertakers, and funeral arrangers",39-4031
4500,Barbers,39-5011
4510,"Hairdressers, hairstylists, and cosmetologists",39-5012
4521,Manicurists and pedicurists,39-5092
4522,Skincare specialists,39-5094
4525,Other personal appearance workers,39-509X
4530,"Baggage porters, bellhops, and concierges",39-6010
4540,Tour and travel guides,39-7010
4600,Childcare workers,39-9011
4621,Exercise trainers and group fitness instructors,39-9031
4622,Recreation workers,39-9032
4640,Residential advisors,39-9041
4655,"Personal care and service workers, all other",39-9099
4700,First-line supervisors of retail sales workers,41-1011
4710,First-line supervisors of non-retail sales workers,41-1012
4720,Cashiers,41-2010
4740,Counter and rental clerks,41-2021
4750,Parts salespersons,41-2022
4760,Retail salespersons,41-2031
4800,Advertising sales agents,41-3011
4810,Insurance sales agents,41-3021
4820,"Securities, commodities, and financial services sales agents",41-3031
4830,Travel agents,41-3041
4840,"Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091
4850,"Sales representatives, wholesale and manufacturing",41-4010
4900,"Models, demonstrators, and product promoters",41-9010
4920,Real estate brokers and sales agents,41-9020
4930,Sales engineers,41-9031
4940,Telemarketers,41-9041
4950,"Door-to-door sales workers, news and street vendors, and related workers",41-9091
4965,"Sales and related workers, all other",41-9099
5000,First-line supervisors of office and administrative support workers,43-1011
5010,"Switchboard operators, including answering service",43-2011
5020,Telephone operators,43-2021
5040,"Communications equipment operators, all other",43-2099
5100,Bill and account collectors,43-3011
5110,Billing and posting clerks,43-3021
5120,"Bookkeeping, accounting, and auditing clerks",43-3031
5130,Gambling cage workers,43-3041
5140,Payroll and timekeeping clerks,43-3051
5150,Procurement clerks,43-3061
5160,Tellers,43-3071
5165,"Financial clerks, all other",43-3099
5200,Brokerage clerks,43-4011
5210,Correspondence clerks,43-4021
5220,"Court, municipal, and license clerks",43-4031
5230,"Credit authorizers, checkers, and clerks",43-4041
5240,Customer service representatives,43-4051
5250,"Eligibility interviewers, government programs",43-4061
5260,File clerks,43-4071
5300,"Hotel, motel, and resort desk clerks",43-4081
5310,"Interviewers, except eligibility and loan",43-4111
5320,"Library assistants, clerical",43-4121
5330,Loan interviewers and clerks,43-4131
5340,New accounts clerks,43-4141
5350,Order clerks,43-4151
5360,"Human resources assistants, except payroll and timekeeping",43-4161
5400,Receptionists and information clerks,43-4171
5410,Reservation and transportation ticket agents and travel clerks,43-4181
5420,"Information and record clerks, all other",43-4199
5500,Cargo and freight agents,43-5011
5510,Couriers and messengers,43-5021
5521,Public safety telecommunicators,43-5031
5522,"Dispatchers, except police, fire, and ambulance",43-5032
5530,"Meter readers, utilities",43-5041
5540,Postal service clerks,43-5051
5550,Postal service mail carriers,43-5052
5560,"Postal service mail sorters, processors, and processing machine operators",43-5053
5600,"Production, planning, and expediting clerks",43-5061
5610,"Shipping, receiving, and inventory clerks",43-5071
5630,"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111
5710,Executive secretaries and executive administrative assistants,43-6011
5720,Legal secretaries and administrative assistants,43-6012
5730,Medical secretaries and administrative assistants,43-6013
5740,"Secretaries and administrative assistants, except legal, medical, and executive",43-6014
5810,Data entry keyers,43-9021
5820,Word processors and typists,43-9022
5830,Desktop publishers,43-9031
5840,Insurance claims and policy processing clerks,43-9041
5850,"Mail clerks and mail machine operators, except postal service",43-9051
5860,"Office clerks, general",43-9061
5900,"Office machine operators, except computer",43-9071
5910,Proofreaders and copy markers,43-9081
5920,Statistical assistants,43-9111
5940,"Office and administrative support workers, all other",43-9199
6005,"First-line supervisors of farming, fishing, and forestry workers",45-1011
6010,Agricultural inspectors,45-2011
6020,Animal breeders,45-2021
6040,"Graders and sorters, agricultural products",45-2041
6050,Miscellaneous agricultural workers,45-2090
6115,Fishing and hunting workers,45-3031
6120,Forest and conservation workers,45-4011
6130,Logging workers,45-4020
6200,First-line supervisors of construction trades and extraction workers,47-1011
6210,Boilermakers,47-2011
6220,"Brickmasons, blockmasons, and stonemasons",47-2020
6230,Carpenters,47-2031
6240,"Carpet, floor, and tile installers and finishers",47-2040
6250,"Cement masons, concrete finishers, and terrazzo workers",47-2050
6260,Construction laborers,47-2061
6305,Construction equipment operators,47-2070
6330,"Drywall installers, ceiling tile installers, and tapers",47-2080
6355,Electricians,47-2111
6360,Glaziers,47-2121
6400,Insulation workers,47-2130
6410,Painters and paperhangers,47-2140
6441,Pipelayers,47-2151
6442,"Plumbers, pipefitters, and steamfitters",47-2152
6460,Plasterers and stucco masons,47-2161
6500,Reinforcing iron and rebar workers,47-2171
6515,Roofers,47-2181
6520,Sheet metal workers,47-2211
6530,Structural iron and steel workers,47-2221
6540,Solar photovoltaic installers,47-2231
6600,"Helpers, construction trades",47-3010
6660,Construction and building inspectors,47-4011
6700,Elevator and escalator installers and repairers,47-4021
6710,Fence erectors,47-4031
6720,Hazardous materials removal workers,47-4041
6730,Highway maintenance workers,47-4051
6740,Rail-track laying and maintenance equipment operators,47-4061
6750,Septic tank servicers and sewer pipe cleaners,47-4071
6765,Miscellaneous construction and related workers,47-4090
6800,"Derrick, rotary drill, and service unit operators, oil and gas",47-5010
6821,"Excavating and loading machine and dragline operators, surface mining",47-5022
6825,"Earth drillers, except oil and gas",47-5023
6835,"Explosives workers, ordnance handling experts, and blasters",47-5032
6850,Underground mining machine operators,47-5040
6920,"Roustabouts, oil and gas",47-5071
6950,Other extraction workers,47-50XX
7000,"First-line supervisors of mechanics, installers, and repairers",49-1011
7010,"Computer, automated teller, and office machine repairers",49-2011
7020,Radio and telecommunications equipment installers and repairers,49-2020
7030,Avionics technicians,49-2091
7040,"Electric motor, power tool, and related repairers",49-2092
7050,"Electrical and electronics installers and repairers, transportation equipment",49-2093
7100,"Electrical and electronics repairers, industrial and utility",49-209X
7110,"Electronic equipment installers and repairers, motor vehicles",49-2096
7120,Audiovisual equipment installers and repairers,49-2097
7130,Security and fire alarm systems installers,49-2098
7140,Aircraft mechanics and service technicians,49-3011
7150,Automotive body and related repairers,49-3021
7160,Automotive glass installers and repairers,49-3022
7200,Automotive service technicians and mechanics,49-3023
7210,Bus and truck mechanics and diesel engine specialists,49-3031
7220,Heavy vehicle and mobile equipment service technicians and mechanics,49-3040
7240,Small engine mechanics,49-3050
7260,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3090
7300,Control and valve installers and repairers,49-9010
7315,"Heating, air conditioning, and refrigeration mechanics and installers",49-9021
7320,Home appliance repairers,49-9031
7330,Industrial and refractory machinery mechanics,49-904X
7340,"Maintenance and repair workers, general",49-9071
7350,"Maintenance workers, machinery",49-9043
7360,Millwrights,49-9044
7410,Electrical power-line installers and repairers,49-9051
7420,Telecommunications line installers and repairers,49-9052
7430,Precision instrument and equipment repairers,49-9060
7440,Wind turbine service technicians,49-9081
7510,"Coin, vending, and amusement machine servicers and repairers",49-9091
7520,Commercial divers,49-9092
7540,Locksmiths and safe repairers,49-9094
7550,Manufactured building and mobile home installers,49-9095
7560,Riggers,49-9096
7610,"Helpers--installation, maintenance, and repair workers",49-9098
7640,"Other installation, maintenance, and repair workers",49-909X
7700,First-line supervisors of production and operating workers,51-1011
7710,"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011
7720,"Electrical, electronics, and electromechanical assemblers",51-2020
7730,Engine and other machine assemblers,51-2031
7740,Structural metal fabricators and fitters,51-2041
7750,Other assemblers and fabricators,51-20XX
7800,Bakers,51-3011
7810,"Butchers and other meat, poultry, and fish processing workers",51-3020
7830,"Food and tobacco roasting, baking, and drying machine operators
and tenders",51-3091
7840,Food batchmakers,51-3092
7850,Food cooking machine operators and tenders,51-3093
7855,"Food processing workers, all other",51-3099
7905,Computer numerically controlled tool operators and programmers,51-9160
7925,"Forming machine setters, operators, and tenders, metal and plastic",51-4020
7950,"Cutting, punching, and press machine setters, operators, and
tenders, metal and plastic",51-4031
8000,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033
8025,"Other machine tool setters, operators, and tenders, metal and
plastic",51-403X
8030,Machinists,51-4041
8040,"Metal furnace operators, tenders, pourers, and casters",51-4050
8060,"Model makers and patternmakers, metal and plastic",51-4060
8100,"Molders and molding machine setters, operators, and tenders,
metal and plastic",51-4070
8130,Tool and die makers,51-4111
8140,"Welding, soldering, and brazing workers",51-4120
8225,Other metal workers and plastic workers,51-4XXX
8250,Prepress technicians and workers,51-5111
8255,Printing press operators,51-5112
8256,Print binding and finishing workers,51-5113
8300,Laundry and dry-cleaning workers,51-6011
8310,"Pressers, textile, garment, and related materials",51-6021
8320,Sewing machine operators,51-6031
8335,Shoe and leather workers,51-6040
8350,"Tailors, dressmakers, and sewers",51-6050
8365,"Textile machine setters, operators, and tenders",51-6060
8450,Upholsterers,51-6093
8465,"Other textile, apparel, and furnishings workers",51-609X
8500,Cabinetmakers and bench carpenters,51-7011
8510,Furniture finishers,51-7021
8530,"Sawing machine setters, operators, and tenders, wood",51-7041
8540,"Woodworking machine setters, operators, and tenders, except
sawing",51-7042
8555,Other woodworkers,51-70XX
8600,"Power plant operators, distributors, and dispatchers",51-8010
8610,Stationary engineers and boiler operators,51-8021
8620,Water and wastewater treatment plant and system operators,51-8031
8630,Miscellaneous plant and system operators,51-8090
8640,"Chemical processing machine setters, operators, and tenders",51-9010
8650,"Crushing, grinding, polishing, mixing, and blending workers",51-9020
8710,Cutting workers,51-9030
8720,"Extruding, forming, pressing, and compacting machine setters,
operators, and tenders",51-9041
8730,"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051
8740,"Inspectors, testers, sorters, samplers, and weighers",51-9061
8750,Jewelers and precious stone and metal workers,51-9071
8760,"Dental and ophthalmic laboratory technicians and medical
appliance technicians",51-9080
8800,Packaging and filling machine operators and tenders,51-9111
8810,Painting workers,51-9120
8830,Photographic process workers and processing machine operators,51-9151
8850,Adhesive bonding machine operators and tenders,51-9191
8910,Etchers and engravers,51-9194
8920,"Molders, shapers, and casters, except metal and plastic",51-9195
8930,"Paper goods machine setters, operators, and tenders",51-9196
8940,Tire builders,51-9197
8950,Helpers--production workers,51-9198
8865,Other production equipment operators and tenders,51-919X
8990,Other production workers,51-91XX
9005,Supervisors of transportation and material moving workers,53-1000
9030,Aircraft pilots and flight engineers,53-2010
9040,Air traffic controllers and airfield operations specialists,53-2020
9050,Flight attendants,53-2031
9110,"Ambulance drivers and attendants, except emergency medical technicians",53-3011
9121,"Bus drivers, school",53-3051
9122,"Bus drivers, transit and intercity",53-3052
9130,Driver/sales workers and truck drivers,53-3030
9141,Shuttle drivers and chauffeurs,53-3053
9142,Taxi drivers,53-3054
9150,"Motor vehicle operators, all other",53-3099
9210,Locomotive engineers and operators,53-4010
9240,Railroad conductors and yardmasters,53-4031
9265,Other rail transportation workers,53-40XX
9300,Sailors and marine oilers,53-5011
9310,Ship and boat captains and operators,53-5020
9330,Ship engineers,53-5031
9350,Parking attendants,53-6021
9365,Transportation service attendants,53-6030
9410,Transportation inspectors,53-6051
9415,Passenger attendants,53-6061
9430,Other transportation workers,53-60XX
9510,Crane and tower operators,53-7021
9570,"Conveyor, dredge, and hoist and winch operators",53-70XX
9600,Industrial truck and tractor operators,53-7051
9610,Cleaners of vehicles and equipment,53-7061
9620,"Laborers and freight, stock, and material movers, hand",53-7062
9630,Machine feeders and offbearers,53-7063
9640,"Packers and packagers, hand",53-7064
9645,Stockers and order fillers,53-7065
9650,Pumping station operators,53-7070
9720,Refuse and recyclable material collectors,53-7081
9760,Other material moving workers,53-71XX
9800,Military officer special and tactical operations leaders,55-1010
9810,First-line enlisted military supervisors,55-2010
9825,"Military enlisted tactical operations and air/weapons specialists and
crew members",55-3010
9830,"Military, rank not specified",none
9920,"Unemployed, with no work experience in the last 5 years or earlier or never worked",none
